experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,target-only,COAD,target-only,cold,0,,0.5,0.5,0.0,False
few-label,UCEC,COAD,single,warm,0,,0.5709779179810726,0.5553867063643627,0.015591211616709844,True
few-label,target-only,COAD,target-only,cold,3,0,0.7372751300196096,0.7340236549283222,0.0032514750912874257,False
few-label,UCEC,COAD,single,warm,3,0,0.6277176229857617,0.6429183747952367,0.015200751809475,True
few-label,target-only,COAD,target-only,cold,3,1,0.6301474976553841,0.6671496466129039,0.03700214895751974,True
few-label,UCEC,COAD,single,warm,3,1,0.5882854463296103,0.6044370317423942,0.01615158541278383,True
few-label,target-only,COAD,target-only,cold,3,2,0.6330462955068633,0.6600433322056957,0.026997036698832355,True
few-label,UCEC,COAD,single,warm,3,2,0.5135987722738512,0.5527514577445064,0.0391526854706552,True
few-label,target-only,COAD,target-only,cold,3,3,0.6440873049705856,0.7216919075628112,0.07760460259222557,True
few-label,UCEC,COAD,single,warm,3,3,0.6168471310427147,0.6061879268805783,0.010659204162136393,True
few-label,target-only,COAD,target-only,cold,3,4,0.6688976042288346,0.6889575165538423,0.0200599123250077,True
few-label,UCEC,COAD,single,warm,3,4,0.6033336175292012,0.6019009164177982,0.0014327011114030341,False
few-label,target-only,COAD,target-only,cold,3,5,0.7130190127035553,0.7501654038337255,0.037146391130170264,True
few-label,UCEC,COAD,single,warm,3,5,0.5468070594253559,0.5714606181636965,0.02465355873834063,True
few-label,target-only,COAD,target-only,cold,3,6,0.6680023872452894,0.7083947222919417,0.040392335046652295,True
few-label,UCEC,COAD,single,warm,3,6,0.5570807400460397,0.5629719854789368,0.0058912454328970965,False
few-label,target-only,COAD,target-only,cold,3,7,0.6564924545997101,0.6366190003310161,0.019873454268693913,True
few-label,UCEC,COAD,single,warm,3,7,0.604271463892915,0.5729972682068014,0.03127419568611356,True
few-label,target-only,COAD,target-only,cold,3,8,0.596768692983204,0.6907559094882829,0.09398721650507891,True
few-label,UCEC,COAD,single,warm,3,8,0.5639014408730497,0.5754220784181061,0.01152063754505639,True
few-label,target-only,COAD,target-only,cold,3,9,0.6547020206326201,0.739064447524229,0.08436242689160889,True
few-label,UCEC,COAD,single,warm,3,9,0.5798874584363544,0.5932972083086284,0.013409749872274057,True
few-label,target-only,COAD,target-only,cold,3,10,0.744905789069827,0.7666041197575458,0.02169833068771887,True
