target,fold,held_out_sites
COAD,0,"('AA',)"
COAD,1,"('3L', 'A6', 'CK', 'NH')"
COAD,2,"('AU', 'AY', 'CM', 'F4', 'SS', 'WS')"
COAD,3,"('4T', 'AM', 'AZ', 'CA', 'D5', 'QG')"
COAD,4,"('4N', '5M', 'AD', 'DM', 'G4', 'QL', 'T9')"
STAD,0,"('BR',)"
STAD,1,"('VQ',)"
STAD,2,"('3M', 'D7', 'FP', 'HJ', 'MX', 'ZA')"
STAD,3,"('B7', 'CG', 'EQ', 'F1', 'HU', 'IN', 'ZQ')"
STAD,4,"('CD', 'HF', 'IP', 'KB', 'R5', 'RD', 'SW')"
UCEC,0,"('D1', 'EO')"
UCEC,1,"('2E', 'AW', 'B5', 'BS', 'DF', 'E6', 'QF')"
UCEC,2,"('5S', 'A5', 'AX', 'BK', 'JU', 'QS', 'SL')"
UCEC,3,"('5B', 'AJ', 'AP', 'DI', 'K6', 'PG', 'SJ')"
UCEC,4,"('4E', 'BG', 'EC', 'EY', 'FI', 'H5')"
