source,target,cases,origin,raw_auc,monotone_auc
COAD,STAD,0.0,few-label,0.5,0.5
COAD,STAD,18.0,few-label,0.6539759843331272,0.6539759843331272
COAD,STAD,29.0,few-label,0.7173907441764584,0.7173907441764584
COAD,STAD,50.0,swap,0.761662543805401,0.761662543805401
COAD,STAD,59.0,few-label,0.7878014842300556,0.7878014842300556
COAD,STAD,100.0,swap,0.8170377241805813,0.8170377241805813
COAD,STAD,147.0,few-label,0.8464363017934445,0.8464363017934445
COAD,STAD,200.0,swap,0.851285817357246,0.851285817357246
COAD,STAD,236.0,few-label,0.8607168625025767,0.8595740568954855
COAD,STAD,296.8,few-label,0.8584312512883941,0.8595740568954855
STAD,COAD,0.0,few-label,0.5,0.5
STAD,COAD,16.0,few-label,0.6613138374968028,0.6613138374968028
STAD,COAD,26.0,few-label,0.6755392616591354,0.6755392616591354
STAD,COAD,50.0,swap,0.7205857276835196,0.7190031119447524
STAD,COAD,53.0,few-label,0.7174204962059852,0.7190031119447524
STAD,COAD,100.0,swap,0.7563581720521785,0.7471001364140166
STAD,COAD,132.0,few-label,0.7378421007758548,0.7471001364140166
STAD,COAD,200.0,swap,0.7526472845084833,0.7515996674908347
STAD,COAD,211.0,few-label,0.7505520504731861,0.7515996674908347
STAD,COAD,312.8,few-label,0.7672862136584534,0.7672862136584534
