component,source,target,auc,ci_lo,ci_hi,perm_p,auc_random_cv,n_target,pos_target,role,passed
ceiling,COAD (within),COAD,0.7672862136584534,0.6965154658287234,0.8319099341659407,,0.8119618040753688,391,74,ceiling,
ceiling,UCEC (within),UCEC,0.754858142246405,0.7099299721160978,0.7988844565331723,,0.7493587252234746,487,155,ceiling,
ceiling,STAD (within),STAD,0.858431251288394,0.8121629458987031,0.9037969652848233,,0.8810039167182023,371,63,ceiling,
zeroshot,UCEC,COAD,0.5710205473612413,0.49578957239699584,0.6471672358610878,0.21978021978021978,,391,74,exploratory,False
zeroshot,STAD,COAD,0.7437121664251003,0.6801388186747488,0.8082467224396055,0.002997002997002997,,391,74,confirmatory,True
zeroshot,UCEC+STAD (combined),COAD,0.6601585812942281,0.591065501689849,0.7275174687846522,0.015984015984015984,,391,74,exploratory,
zeroshot,COAD,UCEC,0.5879906723668868,0.5311760239503381,0.6394430647947479,0.0989010989010989,,487,155,exploratory,False
zeroshot,STAD,UCEC,0.5896230081616789,0.5390150784153545,0.6402093307804938,0.1008991008991009,,487,155,exploratory,False
zeroshot,COAD+STAD (combined),UCEC,0.5694325689856199,0.5177809024807528,0.6217739458944692,0.15384615384615385,,487,155,exploratory,
zeroshot,COAD,STAD,0.7595856524427953,0.6973283411798326,0.8186506503987043,0.000999000999000999,,371,63,confirmatory,True
zeroshot,UCEC,STAD,0.5205627705627706,0.44310741669549175,0.6038103687930678,0.4405594405594406,,371,63,exploratory,False
zeroshot,COAD+UCEC (combined),STAD,0.7345908060193774,0.6660661526584983,0.7984547487091618,0.000999000999000999,,371,63,exploratory,
