experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,target-only,COAD,target-only,cold,0,,0.5,0.5,0.0,False
few-label,UCEC,COAD,single,warm,0,,0.7239321340267713,0.7121278274302107,0.01180430659656051,True
few-label,target-only,COAD,target-only,cold,3,0,0.6612243157984482,0.6549398817556713,0.0062844340427768985,False
few-label,UCEC,COAD,single,warm,3,0,0.7683945775428426,0.7474452059030015,0.02094937163984112,True
few-label,target-only,COAD,target-only,cold,3,1,0.6412737658794442,0.6486005701239067,0.007326804244462526,False
few-label,UCEC,COAD,single,warm,3,1,0.7630232756415721,0.7792280907881702,0.016204815146598106,True
few-label,target-only,COAD,target-only,cold,3,2,0.6723505840225084,0.6530312792140002,0.019319304808508186,True
few-label,UCEC,COAD,single,warm,3,2,0.7590161139057039,0.7433014666564816,0.015714647249222335,True
few-label,target-only,COAD,target-only,cold,3,3,0.6701338562537301,0.6195935787703414,0.05054027748338874,True
few-label,UCEC,COAD,single,warm,3,3,0.767840395600648,0.7331577365038139,0.0346826590968341,True
few-label,target-only,COAD,target-only,cold,3,4,0.6864609088583852,0.6754030746920517,0.011057834166333436,True
few-label,UCEC,COAD,single,warm,3,4,0.8072299428766307,0.7977774540366397,0.009452488839991058,False
few-label,target-only,COAD,target-only,cold,3,5,0.7159604399352034,0.7055751958512634,0.010385244083940037,True
few-label,UCEC,COAD,single,warm,3,5,0.7630659050217409,0.7630821805360039,1.6275514262975577e-05,False
few-label,target-only,COAD,target-only,cold,3,6,0.74946713274789,0.7416834527052998,0.007783680042590224,False
few-label,UCEC,COAD,single,warm,3,6,0.795080569528519,0.7900862042624703,0.004994365266048684,False
few-label,target-only,COAD,target-only,cold,3,7,0.6812601244777902,0.6880443501108843,0.00678422563309411,False
few-label,UCEC,COAD,single,warm,3,7,0.7778156705601502,0.7616108983149699,0.016204772245180354,True
few-label,target-only,COAD,target-only,cold,3,8,0.6795975786512064,0.7238627543702022,0.0442651757189958,True
few-label,UCEC,COAD,single,warm,3,8,0.7900503026685992,0.769267901854297,0.02078240081430216,True
few-label,target-only,COAD,target-only,cold,3,9,0.6568761190212294,0.7330782707858179,0.07620215176458844,True
few-label,UCEC,COAD,single,warm,3,9,0.782163867337369,0.7898185897739026,0.007654722436533645,False
few-label,target-only,COAD,target-only,cold,3,10,0.7756415721715406,0.7640612416382029,0.011580330533337735,True
few-label,UCEC,COAD,single,warm,3,10,0.7764515303947482,0.7719005126507608,0.004551017743987473,False
few-label,target-only,COAD,target-only,cold,3,11,0.6397391081933669,0.6851804202087222,0.045441312015355284,True
few-label,UCEC,COAD,single,warm,3,11,0.7909028902719754,0.7847182967093593,0.006184593562616025,False
few-label,target-only,COAD,target-only,cold,3,12,0.6884218603461506,0.6637616956033044,0.024660164742846158,True
few-label,UCEC,COAD,single,warm,3,12,0.7955068633302071,0.7708867572899349,0.024620106040272205,True
few-label,target-only,COAD,target-only,cold,3,13,0.6872282377014238,0.7279075124919216,0.04067927479049782,True
few-label,UCEC,COAD,single,warm,3,13,0.8109813283314861,0.7746615832032913,0.0363197451281948,True
