component,source,target,auc,ci_lo,ci_hi,perm_p,auc_random_cv,n_target,pos_target,role,passed
ceiling,COAD (within),COAD,0.6879955665444624,0.6143298661437463,0.7576967345894791,,0.7826754198993946,391,74,ceiling,
ceiling,UCEC (within),UCEC,0.7196268946754761,0.6700529537504859,0.7644777497085115,,0.7614069179945588,487,155,ceiling,
ceiling,STAD (within),STAD,0.8534322820037106,0.7988958462172748,0.9020846217274788,,0.8673469387755102,371,63,ceiling,
zeroshot,UCEC,COAD,0.7239321340267713,0.6592580356381618,0.7889440702532184,0.013986013986013986,,391,74,exploratory,True
zeroshot,STAD,COAD,0.7611902122943133,0.6952404297041521,0.8202755989427913,0.000999000999000999,,391,74,confirmatory,True
zeroshot,UCEC+STAD (combined),COAD,0.7930769886605848,0.7335876886350072,0.8504593315713189,0.000999000999000999,,391,74,exploratory,
zeroshot,COAD,UCEC,0.5131558492032646,0.4542528177225029,0.5705416828604741,0.4755244755244755,,487,155,exploratory,False
zeroshot,STAD,UCEC,0.5496890788962301,0.4950971628449281,0.6057010299261563,0.2977022977022977,,487,155,exploratory,False
zeroshot,COAD+STAD (combined),UCEC,0.5412164788184999,0.4855713175281772,0.5984288767975127,0.34665334665334663,,487,155,exploratory,
zeroshot,COAD,STAD,0.7648938363224077,0.7096822820037106,0.8172155225726653,0.000999000999000999,,371,63,confirmatory,True
zeroshot,UCEC,STAD,0.6900639043496186,0.6081671304885591,0.7631055452484022,0.017982017982017984,,371,63,exploratory,True
zeroshot,COAD+UCEC (combined),STAD,0.7628324056895487,0.701861729540301,0.8198412698412697,0.000999000999000999,,371,63,exploratory,
