experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,target-only,COAD,target-only,cold,0,,0.5,0.5,0.0,False
few-label,UCEC,COAD,single,warm,0,,0.7038536959672607,0.6787065820089653,0.025147113958295386,True
few-label,target-only,COAD,target-only,cold,3,0,0.6573024128229176,0.6786363962640031,0.021333983441085502,True
few-label,UCEC,COAD,single,warm,3,0,0.7041094722482736,0.6914421831065326,0.012667289141740978,True
few-label,target-only,COAD,target-only,cold,3,1,0.6555546082359962,0.6626326890035926,0.0070780807675964175,False
few-label,UCEC,COAD,single,warm,3,1,0.6905106999744224,0.719082484270667,0.02857178429624463,True
few-label,target-only,COAD,target-only,cold,3,2,0.5439935203342143,0.561692449556402,0.01769892922218763,True
few-label,UCEC,COAD,single,warm,3,2,0.6418705772018074,0.6547472430471437,0.01287666584533631,True
few-label,target-only,COAD,target-only,cold,3,3,0.6487339074089863,0.6427122298974335,0.006021677511552803,False
few-label,UCEC,COAD,single,warm,3,3,0.7279392957626396,0.7104542124542126,0.01748508330842702,True
few-label,target-only,COAD,target-only,cold,3,4,0.6780202915849602,0.6981910375842848,0.020170745999324557,True
few-label,UCEC,COAD,single,warm,3,4,0.6633131554267201,0.6546421654038338,0.008670990022886294,False
few-label,target-only,COAD,target-only,cold,3,5,0.7380424588626482,0.7532712884048535,0.01522882954220528,True
few-label,UCEC,COAD,single,warm,3,5,0.7116548725381533,0.6979803287851947,0.013674543752958623,True
few-label,target-only,COAD,target-only,cold,3,6,0.7613607298149885,0.7580752655707969,0.003285464244191627,False
few-label,UCEC,COAD,single,warm,3,6,0.7441384602267882,0.7144295408332152,0.029708919393573008,True
few-label,target-only,COAD,target-only,cold,3,7,0.7018927444794952,0.7100335757148071,0.00814083123531184,False
few-label,UCEC,COAD,single,warm,3,7,0.6746099411714555,0.6826291563451445,0.008019215173689087,False
few-label,target-only,COAD,target-only,cold,3,8,0.6451104100946371,0.7026401095869815,0.05752969949234443,True
few-label,UCEC,COAD,single,warm,3,8,0.7571404211782762,0.7419094009818936,0.015231020196382561,True
few-label,target-only,COAD,target-only,cold,3,9,0.6005627078182284,0.6964862579768241,0.09592355015859566,True
few-label,UCEC,COAD,single,warm,3,9,0.7288345127461847,0.721350127253305,0.007484385492879664,False
few-label,target-only,COAD,target-only,cold,3,10,0.7405575922926082,0.7577689300658517,0.017211337773243462,True
few-label,UCEC,COAD,single,warm,3,10,0.7166851393980731,0.702706146110317,0.013978993287756092,True
few-label,target-only,COAD,target-only,cold,3,11,0.5827436269076647,0.6219380296411081,0.039194402733443434,True
few-label,UCEC,COAD,single,warm,3,11,0.720777559894279,0.7062014730828038,0.014576086811475264,True
few-label,target-only,COAD,target-only,cold,3,12,0.6817716770398158,0.6471625635205575,0.03460911351925833,True
few-label,UCEC,COAD,single,warm,3,12,0.6999317929917299,0.6765561096742825,0.023375683317447438,True
few-label,target-only,COAD,target-only,cold,3,13,0.6006053371983971,0.6781533957050343,0.07754805850663715,True
few-label,UCEC,COAD,single,warm,3,13,0.7210759655554608,0.6839504191053347,0.03712554645012611,True
few-label,target-only,COAD,target-only,cold,3,14,0.5902037684372069,0.672990789140243,0.08278702070303612,True
few-label,UCEC,COAD,single,warm,3,14,0.711740131298491,0.7079993106860039,0.00374082061248715,False
few-label,target-only,COAD,target-only,cold,3,15,0.6503111944752323,0.6693463611859839,0.01903516671075156,True
few-label,UCEC,COAD,single,warm,3,15,0.6837326285275813,0.692696238661482,0.008963610133900679,False
few-label,target-only,COAD,target-only,cold,3,16,0.6866314263790604,0.7060168363579485,0.019385409978888157,True
few-label,UCEC,COAD,single,warm,3,16,0.701509080057976,0.7010672817748289,0.0004417982831470546,False
few-label,target-only,COAD,target-only,cold,3,17,0.5743882683945776,0.6340684397253413,0.059680171330763754,True
few-label,UCEC,COAD,single,warm,3,17,0.7237189871259271,0.728856514168828,0.005137527042900936,False
few-label,target-only,COAD,target-only,cold,3,18,0.5923778668258164,0.6740294477121687,0.08165158088635227,True
few-label,UCEC,COAD,single,warm,3,18,0.7270014493989257,0.7123163745115086,0.014685074887417104,True
few-label,target-only,COAD,target-only,cold,3,19,0.6873134964617614,0.7436985697189271,0.056385073257165685,True
few-label,UCEC,COAD,single,warm,3,19,0.7565009804757439,0.7258959414743923,0.030605039001351586,True
few-label,target-only,COAD,target-only,cold,5,0,0.5053713019012703,0.5856447153199884,0.08027341341871808,True
few-label,UCEC,COAD,single,warm,5,0,0.5952340352971268,0.6346690340995206,0.03943499880239376,True
few-label,target-only,COAD,target-only,cold,5,1,0.6139909625714042,0.5951881984836305,0.018802764087773705,True
few-label,UCEC,COAD,single,warm,5,1,0.7047489129508058,0.6826873479053222,0.022061565045483622,True
few-label,target-only,COAD,target-only,cold,5,2,0.5293716429363118,0.5463232524950499,0.01695160955873809,True
few-label,UCEC,COAD,single,warm,5,2,0.6465598090203768,0.6513475439930255,0.004787734972648727,False
few-label,target-only,COAD,target-only,cold,5,3,0.6723079546423395,0.6834723674207289,0.011164412778389421,True
few-label,UCEC,COAD,single,warm,5,3,0.7345042203086366,0.7077323066980465,0.02677191361059006,True
few-label,target-only,COAD,target-only,cold,5,4,0.6292949100520079,0.651759433052879,0.022464523000871095,True
few-label,UCEC,COAD,single,warm,5,4,0.7093955153892063,0.6900397461966479,0.019355769192558436,True
few-label,target-only,COAD,target-only,cold,5,5,0.6506948588967516,0.723910714740407,0.07321585584365542,True
few-label,UCEC,COAD,single,warm,5,5,0.7409838860942962,0.7153500957279507,0.0256337903663455,True
few-label,target-only,COAD,target-only,cold,5,6,0.7206070423736038,0.7415481283033418,0.02094108592973798,True
few-label,UCEC,COAD,single,warm,5,6,0.7654957796913633,0.7401994105971266,0.025296369094236715,True
few-label,target-only,COAD,target-only,cold,5,7,0.6742262767499361,0.6889801941961823,0.014753917446246212,True
few-label,UCEC,COAD,single,warm,5,7,0.7472930343592804,0.735541546779382,0.011751487579898412,True
few-label,target-only,COAD,target-only,cold,5,8,0.7405149629124393,0.7424407941721746,0.0019258312597352223,False
few-label,UCEC,COAD,single,warm,5,8,0.7345468496888055,0.7255115673799886,0.009035282308816894,False
few-label,target-only,COAD,target-only,cold,5,9,0.6420410947224827,0.6596861129601944,0.017645018237711696,True
few-label,UCEC,COAD,single,warm,5,9,0.6909369937761105,0.7247301750990927,0.033793181322982146,True
few-label,target-only,COAD,target-only,cold,5,10,0.7087560746866741,0.7378336249428603,0.02907755025618619,True
few-label,UCEC,COAD,single,warm,5,10,0.7253389035723421,0.7154780571409172,0.00986084643142493,False
few-label,target-only,COAD,target-only,cold,5,11,0.5793332764941599,0.6046912540179671,0.025357977523807196,True
few-label,UCEC,COAD,single,warm,5,11,0.6921306164208373,0.6847907443984902,0.007339872022347094,False
few-label,target-only,COAD,target-only,cold,5,12,0.6614800920794611,0.6595077819124493,0.001972310167011826,False
few-label,UCEC,COAD,single,warm,5,12,0.7038110665870918,0.6777686323937566,0.026042434193335184,True
few-label,target-only,COAD,target-only,cold,5,13,0.6827521527836986,0.6869827720001502,0.004230619216451625,False
