source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
STAD,COAD,single,0,1,0.7561599454343934,0.6906194048938529,0.8192226532526216,0.5,0.5,0.5,0.25615994543439335,0.19061940489385287,0.3192226532526216,0.7372439201535528,0.5,0.23724392015355278,True,False,
STAD,COAD,single,10,20,0.7399884900673545,0.677176016710717,0.7986963402677125,0.6734205814647456,0.6293105763492198,0.7168354079631682,0.06656790860260886,0.020298991815158807,0.11029973782931188,0.7331997883254339,0.6943613033551463,0.03883848497028752,True,False,
STAD,COAD,single,25,20,0.7417277687782419,0.6828223314008015,0.8008787513854547,0.688230028135391,0.6357574175121493,0.7388063773552731,0.053497740642850844,0.008530778412481732,0.0965206965640717,0.7313000465302102,0.7022568900783648,0.02904315645184541,True,False,
STAD,COAD,single,3,20,0.7590416915338051,0.6972856275044762,0.8175938912098217,0.6508739022934609,0.6165453150311193,0.6834427487424333,0.1081677892403442,0.05823125373007093,0.15678329354591175,0.7454367265224018,0.6834772331166571,0.06195949340574469,True,False,
STAD,COAD,single,40,20,0.7042821212379573,0.6375124690936993,0.7689971438315286,0.6522998550601075,0.587276515474465,0.71286741197033,0.051982266177849845,0.002116655298831746,0.09885279009293213,0.7078176257346317,0.6673024868048204,0.04051513892981129,True,False,
STAD,COAD,single,5,20,0.7494266348367294,0.6872242411970331,0.809462390229346,0.6319592463125586,0.5916188507119109,0.671530821041862,0.11746738852417082,0.06515437164293629,0.1691805034529795,0.7359881171239662,0.6579316456962435,0.07805647142772265,True,False,
STAD,COAD,single,all,1,0.6792565436098559,0.6030735783101714,0.7525812089692215,0.6261403359195157,0.547566928126865,0.6978919771506522,0.0531162076903402,-0.0022188592377866798,0.1079908773126438,0.6906024337573493,0.6544832976248071,0.03611913613254225,True,False,
STAD+UCEC,COAD,pooled,0,1,0.752152783698525,0.6836889334129082,0.8183572768351948,0.5,0.5,0.5,0.252152783698525,0.18368893341290812,0.31835727683519477,0.7326489924618029,0.5,0.23264899246180293,True,False,
STAD+UCEC,COAD,pooled,10,20,0.7271527836985251,0.6606257993008782,0.7895368317844658,0.6734205814647456,0.6293105763492198,0.7168354079631682,0.0537322022337795,0.0036198205303096284,0.10226175505158175,0.7141910190328263,0.6943613033551463,0.019829715677679993,True,False,
STAD+UCEC,COAD,pooled,25,20,0.7328480688890784,0.6693067929917298,0.7945608640975361,0.688230028135391,0.6357574175121493,0.7388063773552731,0.04461804075368736,-0.0030075027709096282,0.09090326327905189,0.7182226157738324,0.7022568900783648,0.015965725695467614,True,False,
STAD+UCEC,COAD,pooled,3,20,0.7553691704322618,0.6889173736038879,0.8180077159178104,0.6508739022934609,0.6165453150311193,0.6834427487424333,0.10449526813880095,0.04861982053030979,0.15603259016113913,0.7355176739320483,0.6834772331166571,0.052040440815391165,True,False,
STAD+UCEC,COAD,pooled,40,20,0.7140911416148008,0.6462144577542841,0.7791532739363969,0.6522998550601075,0.587276515474465,0.71286741197033,0.06179128655469335,0.010101511211526928,0.11294403828118332,0.7068204631074542,0.6673024868048204,0.03951797630263376,True,False,
STAD+UCEC,COAD,pooled,5,20,0.7440659902805014,0.6776814412993438,0.8055810917384262,0.6319592463125586,0.5916188507119109,0.671530821041862,0.11210674396794273,0.0530804522977236,0.1683839201978006,0.723697418194737,0.6579316456962435,0.06576577249849347,True,False,
STAD+UCEC,COAD,pooled,all,1,0.707391934521272,0.6338551879955666,0.7801229857617871,0.6261403359195157,0.547566928126865,0.6978919771506522,0.08125159860175635,0.022369767243584342,0.1386765708926592,0.7052254766087934,0.6544832976248071,0.050742178983986364,True,False,
UCEC,COAD,single,0,1,0.7038536959672607,0.6419952681388014,0.7683210418620512,0.5,0.5,0.5,0.20385369596726066,0.1419952681388013,0.2683210418620512,0.6787065820089653,0.5,0.17870658200896528,True,False,
UCEC,COAD,single,10,20,0.6955196521442579,0.6380780543950891,0.7500590416915337,0.6734205814647456,0.6293105763492198,0.7168354079631682,0.022099070679512334,-0.01839154019950547,0.06366042501492018,0.6952913659936002,0.6943613033551463,0.0009300626384538546,True,False,
UCEC,COAD,single,25,20,0.7128271804927955,0.6530352118680196,0.7701855443771847,0.688230028135391,0.6357574175121493,0.7388063773552731,0.02459715235740445,-0.013302657941853785,0.06388993094040402,0.7127323925440112,0.7022568900783648,0.010475502465646436,True,False,
UCEC,COAD,single,3,20,0.7103397561599454,0.6580235420751983,0.7629316224742093,0.6508739022934609,0.6165453150311193,0.6834427487424333,0.05946585386648451,0.01362093955153884,0.10564226489896847,0.7013456325865464,0.6834772331166571,0.017868399469889273,True,False,
UCEC,COAD,single,40,20,0.6934947565862393,0.6271990898627334,0.7558122495523915,0.6522998550601075,0.587276515474465,0.71286741197033,0.04119490152613181,0.002005552476766773,0.08221742049620591,0.6959715553094152,0.6673024868048204,0.02866906850459483,True,False,
UCEC,COAD,single,5,20,0.7005733651632706,0.6452711761445988,0.7540431835621111,0.6319592463125586,0.5916188507119109,0.671530821041862,0.068614118850712,0.021627110154318358,0.1145587326285277,0.6927459256814024,0.6579316456962435,0.03481427998515885,True,False,
UCEC,COAD,single,all,1,0.6822832296018416,0.6045123198908688,0.7557517691192769,0.6261403359195157,0.547566928126865,0.6978919771506522,0.056142893682325945,0.013339798789325619,0.10009591610537985,0.6923641305731673,0.6544832976248071,0.0378808329483602,True,False,
COAD,STAD,single,0,1,0.6178107606679035,0.5511196145124717,0.6834724799010513,0.5,0.5,0.5,0.11781076066790352,0.051119614512471656,0.18347247990105128,0.6243128594294821,0.5,0.12431285942948211,False,False,
COAD,STAD,single,10,20,0.7520253555967841,0.698723459080602,0.8016571969696968,0.742717996289425,0.6933922129457845,0.788116367759225,0.009307359307359042,-0.03852788084930952,0.05600359461966585,0.7374033174421781,0.7256082726501044,0.011795044792073717,True,True,False
COAD,STAD,single,25,20,0.7987270665842094,0.74798282570604,0.8437503865182435,0.8013734281591424,0.7475146232735518,0.8506297026386314,-0.0026463615749329206,-0.04223871366728494,0.03575422593279743,0.7878597303428394,0.7846629028558304,0.003196827487009002,True,False,
COAD,STAD,single,3,20,0.7014146567717996,0.6415302257266543,0.7552531050298906,0.664548546691404,0.6252622526283242,0.7025440630797773,0.03686611008039564,-0.024974296536796437,0.09738559059987623,0.6952263062704352,0.6580088417844973,0.03721746448593799,False,False,
COAD,STAD,single,40,20,0.8137291280148423,0.7612672644815502,0.8577802257266541,0.8110028860028861,0.7471027236652237,0.8653871624407338,0.002726242011956259,-0.03812886518243651,0.045527726242011846,0.8009193187058969,0.7971596320657498,0.003759686640147142,True,False,
COAD,STAD,single,5,20,0.7212662337662338,0.662497423211709,0.7742171072974646,0.69983250876108,0.658666447639662,0.7407184085755515,0.021433725005153725,-0.03461464131106982,0.07452245670995669,0.7098184187979368,0.6927463792151525,0.01707203958278436,True,False,
