component,source,target,auc,ci_lo,ci_hi,perm_p,auc_random_cv,n_target,pos_target,role,passed
ceiling,COAD (within),COAD,0.6261403359195158,0.5467122090544804,0.6998966237530906,,0.7693750532867253,391,74,ceiling,
ceiling,UCEC (within),UCEC,0.7178973960357559,0.6690614069179946,0.7621074621064905,,0.732005441119316,487,155,ceiling,
ceiling,STAD (within),STAD,0.8123067408781693,0.7445784374355803,0.8705460214388785,,0.8520923520923521,371,63,ceiling,
zeroshot,UCEC,COAD,0.7038536959672607,0.640929533634581,0.768948759485037,0.029970029970029972,,391,74,exploratory,True
zeroshot,STAD,COAD,0.7561599454343935,0.6896975445477024,0.8171252877483162,0.000999000999000999,,391,74,confirmatory,True
zeroshot,UCEC+STAD (combined),COAD,0.752152783698525,0.6864129508056953,0.8165700400716173,0.000999000999000999,,391,74,exploratory,
zeroshot,COAD,UCEC,0.5554605518849592,0.4993159735717062,0.6101515740380878,0.2707292707292707,,487,155,exploratory,False
zeroshot,STAD,UCEC,0.497493198600855,0.44163330742324136,0.5537354255732607,0.5624375624375625,,487,155,exploratory,False
zeroshot,COAD+STAD (combined),UCEC,0.5131947143412359,0.4590342013214147,0.5656743101438009,0.46353646353646355,,487,155,exploratory,
zeroshot,COAD,STAD,0.6178107606679035,0.5511196145124717,0.6834724799010513,0.16483516483516483,,371,63,confirmatory,False
zeroshot,UCEC,STAD,0.5267985982271697,0.45329184704184705,0.5984912904555761,0.41358641358641357,,371,63,exploratory,False
zeroshot,COAD+UCEC (combined),STAD,0.6589363017934446,0.5881635229849516,0.7243880127808698,0.052947052947052944,,371,63,exploratory,
